datum,ic_bedden_covid,ic_bedden_non_covid,kliniek_bedden,ic_nieuwe_opnames_covid,kliniek_nieuwe_opnames_covid,date,zhopnamen,besmettingen,percentageziekenhuisopnameper,e,f,g,h,i,j,k,l,_merge,bezettingcovid,proportion,ul_prop,ll_prop,perc,ul_perc,ll_perc
25-08-2020,38,601,120,,,25aug,,,,,,,,,,,,master only (1),158,,,,,,
26-08-2020,38,622,120,,,26aug,,,,,,,,,,,,master only (1),158,,,,,,
27-08-2020,36,613,107,,,27aug,,,,,,,,,,,,master only (1),143,,,,,,
28-08-2020,34,607,100,,,28aug,,,,,,,,,,,,master only (1),134,,,,,,
29-08-2020,34,577,96,,,29aug,,,,,,,,,,,,master only (1),130,,,,,,
30-08-2020,33,558,94,,,30aug,,,,,,,,,,,,master only (1),127,,,,,,
31-08-2020,38,550,94,,,31aug,136,4981,,,,,,,,,,matched (3),132,.027303753,.031829577,.02277793,2.7303753,3.1829576,2.2777929
01-09-2020,33,589,93,,,01sep,,,,,,,,,,,,master only (1),126,,,,,,
02-09-2020,32,617,90,,,02sep,,,,,,,,,,,,master only (1),122,,,,,,
03-09-2020,28,592,95,,,03sep,,,,,,,,,,,,master only (1),123,,,,,,
04-09-2020,35,604,95,,,04sep,,,,,,,,,,,,master only (1),130,,,,,,
05-09-2020,35,597,99,,,05sep,,,,,,,,,,,,master only (1),134,,,,,,
06-09-2020,33,576,105,,,06sep,,,,,,,,,,,,master only (1),138,,,,,,
07-09-2020,31,552,109,,,07sep,235,8084,,,,,,,,,,matched (3),140,.029069768,.032732099,.025407435,2.9069769,3.27321,2.5407436
08-09-2020,30,632,116,,,08sep,,,,,,,,,,,,master only (1),146,,,,,,
09-09-2020,31,616,122,,,09sep,,,,,,,,,,,,master only (1),153,,,,,,
10-09-2020,30,606,131,,,10sep,,,,,,,,,,,,master only (1),161,,,,,,
11-09-2020,36,609,136,,,11sep,,,,,,,,,,,,master only (1),172,,,,,,
12-09-2020,37,596,138,,,12sep,,,,,,,,,,,,master only (1),175,,,,,,
13-09-2020,36,572,148,,,13sep,,,,,,,,,,,,master only (1),184,,,,,,
14-09-2020,43,562,166,,,14sep,457,13625,,,,,,,,,,matched (3),209,.033541285,.036564503,.030518068,3.3541284,3.6564503,3.0518067
15-09-2020,53,621,187,,,15sep,,,,,,,,,,,,master only (1),240,,,,,,
16-09-2020,54,646,191,,,16sep,,,,,,,,,,,,master only (1),245,,,,,,
17-09-2020,49,636,212,,,17sep,,,,,,,,,,,,master only (1),261,,,,,,
18-09-2020,58,615,230,,,18sep,,,,,,,,,,,,master only (1),288,,,,,,
19-09-2020,67,588,260,,,19sep,,,,,,,,,,,,master only (1),327,,,,,,
20-09-2020,77,558,276,,,20sep,,,,,,,,,,,,master only (1),353,,,,,,
21-09-2020,85,535,325,,,21sep,732,19077,,,,,,,,,,matched (3),410,.038370814,.041096687,.035644941,3.8370814,4.1096687,3.5644941
22-09-2020,91,627,329,,,22sep,,,,,,,,,,,,master only (1),420,,,,,,
23-09-2020,104,635,371,,,23sep,,,,,,,,,,,,master only (1),475,,,,,,
24-09-2020,106,636,395,,,24sep,,,,,,,,,,,,master only (1),501,,,,,,
25-09-2020,116,588,431,,,25sep,,,,,,,,,,,,master only (1),547,,,,,,
26-09-2020,122,600,433,,,26sep,,,,,,,,,,,,master only (1),555,,,,,,
27-09-2020,127,559,490,,,27sep,,,,,,,,,,,,master only (1),617,,,,,,
28-09-2020,142,529,518,,,28sep,961,27092,,,,,,,,,,matched (3),660,.035471726,.037674319,.033269133,3.5471725,3.767432,3.3269134
29-09-2020,142,587,551,,,29sep,,,,,,,,,,,,master only (1),693,,,,,,
30-09-2020,150,599,551,,,30sep,,,,,,,,,,,,master only (1),701,,,,,,
01-10-2020,152,611,539,,,01oct,,,,,,,,,,,,master only (1),691,,,,,,
02-10-2020,160,594,573,,,02oct,,,,,,,,,,,,master only (1),733,,,,,,
03-10-2020,156,571,585,,,03oct,,,,,,,,,,,,master only (1),741,,,,,,
04-10-2020,163,536,647,,,04oct,,,,,,,,,,,,master only (1),810,,,,,,
05-10-2020,177,516,715,,,05oct,1405,42664,,,,,,,,,,matched (3),892,.032931745,.03462515,.031238338,3.2931745,3.4625151,3.1238339
06-10-2020,190,576,785,,,06oct,,,,,,,,,,,,master only (1),975,,,,,,
07-10-2020,210,580,811,,,07oct,,,,,,,,,,,,master only (1),1021,,,,,,
08-10-2020,228,563,842,,,08oct,,,,,,,,,,,,master only (1),1070,,,,,,
09-10-2020,239,564,900,,,09oct,,,,,,,,,,,,master only (1),1139,,,,,,
10-10-2020,235,520,955,,,10oct,,,,,,,,,,,,master only (1),1190,,,,,,
11-10-2020,247,489,986,,,11oct,,,,,,,,,,,,master only (1),1233,,,,,,
12-10-2020,252,494,1046,,,12oct,1900,56665,,,,,,,,,,matched (3),1298,.033530399,.035012618,.032048181,3.35304,3.5012617,3.204818
13-10-2020,277,542,1133,,,13oct,,,,,,,,,,,,master only (1),1410,,,,,,
14-10-2020,301,527,1174,,,14oct,,,,,,,,,,,,master only (1),1475,,,,,,
15-10-2020,313,503,1213,,,15oct,,,,,,,,,,,,master only (1),1526,,,,,,
16-10-2020,345,524,1208,,,16oct,,,,,,,,,,,,master only (1),1553,,,,,,
17-10-2020,352,492,1216,42,216,17oct,,,,,,,,,,,,master only (1),1568,,,,,,
18-10-2020,364,460,1288,28,206,18oct,,,,,,,,,,,,master only (1),1652,,,,,,
19-10-2020,379,445,1359,38,184,19oct,2290,66516,,,,,,,,,,matched (3),1738,.034427807,.035813414,.0330422,3.4427807,3.5813413,3.30422
20-10-2020,419,480,1440,55,252,20oct,,,,,,,,,,,,master only (1),1859,,,,,,
21-10-2020,450,456,1493,52,232,21oct,,,,,,,,,,,,master only (1),1943,,,,,,
22-10-2020,463,460,1540,56,238,22oct,,,,,,,,,,,,master only (1),2003,,,,,,
23-10-2020,472,476,1601,43,248,23oct,,,,,,,,,,,,master only (1),2073,,,,,,
24-10-2020,501,431,1614,52,284,24oct,,,,,,,,,,,,master only (1),2115,,,,,,
25-10-2020,490,419,1657,28,191,25oct,,,,,,,,,,,,master only (1),2147,,,,,,
26-10-2020,506,431,1743,49,291,26oct,2336,63220,,,,,,,,,,matched (3),2249,.036950331,.038420822,.03547984,3.6950331,3.8420823,3.5479839
27-10-2020,529,456,1829,53,311,27oct,,,,,,,,,,,,master only (1),2358,,,,,,
28-10-2020,545,462,1831,57,313,28oct,,,,,,,,,,,,master only (1),2376,,,,,,
29-10-2020,553,470,1831,47,269,29oct,,,,,,,,,,,,master only (1),2384,,,,,,
30-10-2020,567,447,1818,37,250,30oct,,,,,,,,,,,,master only (1),2385,,,,,,
31-10-2020,584,452,1864,76,314,31oct,,,,,,,,,,,,master only (1),2448,,,,,,
01-11-2020,583,446,1910,58,237,01nov,,,,,,,,,,,,master only (1),2493,,,,,,
02-11-2020,587,415,1958,47,239,02nov,1992,44316,,,,,,,,,,matched (3),2545,.044949904,.046878997,.043020811,4.4949903,4.6878996,4.3020811
03-11-2020,609,449,2044,59,364,03nov,,,,,,,,,,,,master only (1),2653,,,,,,
04-11-2020,612,475,1960,50,236,04nov,,,,,,,,,,,,master only (1),2572,,,,,,
05-11-2020,607,476,1905,35,261,05nov,,,,,,,,,,,,master only (1),2512,,,,,,
06-11-2020,603,477,1842,33,180,06nov,,,,,,,,,,,,master only (1),2445,,,,,,
07-11-2020,602,466,1782,37,248,07nov,,,,,,,,,,,,master only (1),2384,,,,,,
08-11-2020,598,431,1697,36,149,08nov,,,,,,,,,,,,master only (1),2295,,,,,,
09-11-2020,600,444,1717,40,177,09nov,1741,37672,,,,,,,,,,matched (3),2317,.046214696,.048334826,.044094566,4.6214695,4.8334827,4.4094567
10-11-2020,598,487,1697,39,258,10nov,,,,,,,,,,,,master only (1),2295,,,,,,
11-11-2020,606,480,1671,36,230,11nov,,,,,,,,,,,,master only (1),2277,,,,,,
12-11-2020,595,496,1606,31,220,12nov,,,,,,,,,,,,master only (1),2201,,,,,,
13-11-2020,609,485,1572,32,170,13nov,,,,,,,,,,,,master only (1),2181,,,,,,
14-11-2020,595,457,1530,32,163,14nov,,,,,,,,,,,,master only (1),2125,,,,,,
15-11-2020,586,437,1509,22,150,15nov,,,,,,,,,,,,master only (1),2095,,,,,,
16-11-2020,573,463,1557,29,173,16nov,1529,36818,,,,,,,,,,matched (3),2130,.041528601,.043566532,.03949067,4.1528602,4.3566532,3.9490671
17-11-2020,576,473,1570,38,256,17nov,,,,,,,,,,,,master only (1),2146,,,,,,
18-11-2020,559,488,1528,27,192,18nov,,,,,,,,,,,,master only (1),2087,,,,,,
19-11-2020,555,501,1475,37,224,19nov,,,,,,,,,,,,master only (1),2030,,,,,,
20-11-2020,547,496,1414,35,217,20nov,,,,,,,,,,,,master only (1),1961,,,,,,
